user_time,transform_rate,churn_rate
1/1/18,11.50%,31.1
1/2/18,10.60%,31.2
1/3/18,4.19%,27.8
1/4/18,4.27%,27.9
1/5/18,5.88%,27.3
1/6/18,7.84%,28.1
1/7/18,7.96%,28.4
1/8/18,8.54%,30.5
1/9/18,9.41%,29
1/10/18,7.08%,27.1
1/11/18,10.05%,32.2
1/12/18,6.84%,32.3
1/13/18,10.28%,34
1/14/18,9.71%,36.3
1/15/18,10.22%,38.5
1/16/18,7.28%,38.2
1/17/18,8.10%,33.5
1/18/18,8.83%,35.4
1/19/18,6.25%,35.6
1/20/18,6.38%,34.9
1/21/18,10.95%,34
1/22/18,6.42%,32.7
1/23/18,7.17%,32.9
1/24/18,9.72%,35.4
1/25/18,10.26%,36.6
1/26/18,6.31%,29.7
1/27/18,6.58%,32.2
1/28/18,9.75%,33.9
1/29/18,9.57%,39.5
1/30/18,8.58%,37.3
1/31/18,5.15%,32.7
2/1/18,4.02%,25.8
2/2/18,3.74%,27.2
2/3/18,4.65%,27.8
2/4/18,5.88%,31.8
2/5/18,5.61%,29.9
2/6/18,4.71%,32.4
2/7/18,3.40%,29.8
2/8/18,2.10%,29
2/9/18,3.02%,29.8
2/10/18,2.66%,28.8
2/11/18,2.70%,31.2
2/12/18,2.87%,33.6
2/13/18,2.99%,30
2/14/18,3.03%,30.7
2/15/18,3.22%,34.9
2/16/18,6.15%,34.4
2/17/18,6.10%,33.7
2/18/18,6.33%,36.4
2/19/18,7.17%,34.4
2/20/18,6.81%,34.4
2/21/18,7.80%,38.8
2/22/18,7.44%,37.3
2/23/18,9.84%,40.8
2/24/18,9.40%,37.2
2/25/18,14.64%,36.2
2/26/18,12.12%,39.8
2/27/18,15.22%,39.2
2/28/18,17.28%,41.8
3/1/18,20.79%,38.6
3/2/18,17.54%,36.2
3/3/18,19.96%,36.4
3/4/18,22.47%,40
3/5/18,10.02%,38.7
3/6/18,10.24%,38.5
3/7/18,11.01%,40.8
3/8/18,27.53%,40.1
3/9/18,25.29%,39
3/10/18,24.51%,38.9
3/11/18,24.47%,40.1
3/12/18,13.94%,41.9
3/13/18,10.58%,37.2
3/14/18,9.83%,37.1
3/15/18,12.00%,37.8
3/16/18,7.46%,37.5
3/17/18,8.02%,31.9
3/18/18,7.09%,30.8
3/19/18,7.19%,27.8
3/20/18,7.27%,27
3/21/18,7.86%,29.1
3/22/18,6.47%,28.9
3/23/18,5.30%,27.1
3/24/18,5.94%,26.1
3/25/18,6.13%,27.3
3/26/18,8.17%,30.2
3/27/18,7.95%,30.8
3/28/18,7.12%,28.1
3/29/18,7.36%,26.8
3/30/18,5.60%,24.5
3/31/18,5.95%,26.4
4/1/18,6.12%,26.6
4/2/18,8.03%,29.8
4/3/18,4.28%,29.2
4/4/18,4.70%,25.6
4/5/18,5.59%,28.1
4/6/18,5.97%,28.8
4/7/18,7.07%,28.9
4/8/18,7.82%,32
4/9/18,7.57%,29.2
4/10/18,8.51%,33.9
,,
,,
,,
,,
,,
,,
,,
,,
