,userid,os,city,gender,status,completed_info,SignIn,date,weekend,fromchannel,coin,lucky_money,unsub,sub,default_buyer,today_read,purchase,share,favorite,read,actions,path1,path2,path3,path4,path5,path6
0,5ad192b21f0ca62f3b455d8a,,,female,student,0,1.0,2018-04-14,1,Xiaomi,0,0,0.0,0.0,14.0,14.0,0.0,0.0,8.0,45.0,买手主页文章详情页买手主页文章详情页买手主页文章详情页买手主页文章详情页买手主页文章详情页买手主页文章详情页买手主页文章详情页买手主页文章详情页买手主页文章详情页买手主页文章详情页买手主页文章详情页买手主页文章详情页文章详情页买手主页文章详情页买手主页文章详情页买手主页文章详情页买手主页文章详情页买手主页文章详情页买手主页文章详情页买手主页买手主页买手主页文章详情页买手主页文章详情页买手主页文章详情页买手主页买手主页文章详情页文章详情页买手主页文章详情页买手主页文章详情页买手主页文章详情页买手主页文章详情页买手主页文章详情页买手主页文章详情页买手主页文章详情页买手主页文章详情页买手主页文章详情页买手主页买手主页文章详情页买手主页文章详情页买手主页文章详情页买手主页文章详情页买手主页文章详情页买手主页买手主页文章详情页买手主页买手主页文章详情页买手主页文章详情页买手主页文章详情页买手主页文章详情页买手主页文章详情页买手主页文章详情页买手主页文章详情页买手主页文章详情页买手主页文章详情页买手主页买手主页文章详情页买手主页文章详情页买手主页文章详情页买手主页,0.0,0.0,0.0,0.0,0.0,0.0
1,5ad1a1a26b4d03488a0c329c,iOS,兴安盟,female,worker,0,0.0,2018-04-14,1,,0,0,0.0,0.0,14.0,14.0,0.0,0.0,0.0,5.0,首页文章详情页首页首页文章详情页首页文章详情页首页文章详情页首页文章详情页首页,5.0,0.0,0.0,0.0,0.0,0.0
2,5ad22221bf06f46f09d01423,,,female,student,0,0.0,2018-04-14,1,Huawei,0,0,0.0,0.0,14.0,14.0,0.0,0.0,1.0,11.0,文章详情页文章详情页文章详情页文章详情页文章详情页文章详情页文章详情页文章详情页文章详情页文章详情页文章详情页文章详情页文章详情页文章详情页文章详情页文章详情页,0.0,0.0,0.0,0.0,0.0,0.0
3,5ad166f06b4d03488aff05ae,Android,西安,male,student,0,1.0,2018-04-14,1,newyaoqinghaoyou,0,0,0.0,0.0,15.0,15.0,0.0,0.0,0.0,0.0,,,,,,,
4,5ad1f114c077bc7009bddd60,Android,上海,female,student,1,1.0,2018-04-14,1,Vivo,0,0,0.0,1.0,14.0,14.0,0.0,2.0,1.0,7.0,文章详情页文章详情页文章详情页文章详情页文章详情页文章详情页文章详情页文章详情页买手主页文章详情页文章详情页,0.0,0.0,0.0,0.0,0.0,0.0
5,5ad20d74d0d3372f53aa708b,,,male,student,0,0.0,2018-04-14,1,newyaoqinghaoyou,0,0,0.0,0.0,15.0,15.0,0.0,0.0,1.0,4.0,文章详情页文章详情页文章详情页文章详情页,0.0,0.0,0.0,0.0,0.0,0.0
6,5ad1e0542e6b536f0f6dcca6,,,male,worker,0,0.0,2018-04-14,1,Xiaomi,0,0,0.0,0.0,14.0,14.0,0.0,0.0,0.0,6.0,文章详情页文章详情页文章详情页文章详情页文章详情页文章详情页,0.0,0.0,0.0,0.0,0.0,0.0
7,5ad1f6f0b31aaa7021fdeb0f,iOS,嘉兴,male,student,0,0.0,2018-04-14,1,,0,0,0.0,0.0,15.0,15.0,0.0,0.0,0.0,0.0,首页发现买手发现买手,0.0,0.0,0.0,0.0,0.0,0.0
8,5ad19be8450fbc6efe075feb,Android,南京,male,student,0,0.0,2018-04-14,1,newyaoqinghaoyou,0,0,0.0,0.0,15.0,15.0,0.0,0.0,0.0,0.0,,,,,,,
9,5ad1b7d8e1eefe48963b43ca,,,female,student,0,0.0,2018-04-14,1,,0,0,0.0,0.0,14.0,14.0,1.0,0.0,0.0,6.0,首页首页发现买手发现买手买手主页发现买手发现买手首页文章详情页文章详情页首页首页首页文章详情页文章详情页文章详情页首页文章详情页文章详情页首页文章详情页首页文章详情页首页发现买手发现买手买手主页买手主页文章详情页买手主页文章详情页买手主页买手主页文章详情页买手主页发现买手发现买手,5.0,0.0,0.0,0.0,0.0,0.0
10,5ad1de9f450fbc6efe1531d3,iOS,天津,male,student,0,0.0,2018-04-14,1,,0,0,0.0,0.0,15.0,15.0,0.0,0.0,0.0,2.0,首页文章详情页首页文章详情页首页发现买手发现买手买手主页发现买手发现买手发现买手发现买手发现买手发现买手发现买手发现买手发现买手发现买手发现买手,2.0,0.0,0.0,0.0,0.0,0.0
11,5ad1658fd0d3372f53862ab9,Android,东莞,female,student,0,1.0,2018-04-14,1,newyaoqinghaoyou,0,0,0.0,0.0,14.0,14.0,0.0,0.0,0.0,3.0,文章详情页文章详情页文章详情页,0.0,0.0,0.0,0.0,0.0,0.0
12,5ad2109c58f66b2e34d608fc,,,female,worker,0,0.0,2018-04-14,1,,0,0,0.0,0.0,14.0,14.0,0.0,0.0,0.0,4.0,首页发现买手发现买手买手主页文章详情页买手主页文章详情页买手主页买手主页文章详情页买手主页发现买手发现买手发现买手发现买手买手主页文章详情页,0.0,0.0,0.0,0.0,0.0,0.0
13,5ad1e3f658f66b2e34cb755f,,,female,student,0,0.0,2018-04-14,1,Oppo,0,0,0.0,0.0,14.0,14.0,0.0,0.0,0.0,1.0,买手主页文章详情页,0.0,0.0,0.0,0.0,0.0,0.0
14,5ad1f14564fc0b484895f0b5,iOS,郑州,female,student,0,0.0,2018-04-14,1,,0,0,0.0,0.0,14.0,14.0,0.0,0.0,0.0,0.0,首页发现买手发现买手首页首页,0.0,0.0,0.0,0.0,0.0,0.0
15,5ad2038f2862a62f34b146be,Android,长沙,female,student,0,0.0,2018-04-14,1,Oppo,0,0,0.0,0.0,14.0,14.0,0.0,0.0,0.0,0.0,,,,,,,
16,5ad21c5322defc47ea7a2178,,,male,worker,0,0.0,2018-04-14,1,,0,0,0.0,0.0,14.0,14.0,0.0,0.0,0.0,2.0,首页发现买手发现买手发现买手文章详情页发现买手发现买手发现买手买手主页发现买手发现买手最新买手列表页发现买手发现买手文章详情页,0.0,0.0,0.0,0.0,0.0,0.0
17,5ad1c7282dbd85702adbbe59,,,female,student,0,1.0,2018-04-14,1,newyaoqinghaoyou,0,0,0.0,0.0,14.0,14.0,1.0,0.0,3.0,27.0,文章详情页文章详情页文章详情页文章详情页文章详情页文章详情页文章详情页文章详情页文章详情页文章详情页文章详情页文章详情页买手主页文章详情页买手主页买手主页买手主页买手主页文章详情页买手主页文章详情页买手主页买手主页文章详情页买手主页文章详情页买手主页文章详情页买手主页买手主页文章详情页买手主页文章详情页买手主页文章详情页文章详情页文章详情页文章详情页文章详情页文章详情页文章详情页文章详情页文章详情页文章详情页文章详情页,0.0,0.0,0.0,0.0,0.0,0.0
18,5ad1e0716b4d03488a195494,iOS,盐城,female,student,0,0.0,2018-04-14,1,,0,0,0.0,0.0,14.0,14.0,0.0,0.0,0.0,2.0,首页发现买手发现买手首页首页发现买手发现买手首页文章详情页文章详情页首页发现买手发现买手发现买手发现买手首页首页首页,1.0,0.0,0.0,0.0,0.0,0.0
19,5ad221f258f66b2e34da7c09,Android,石家庄,male,worker,0,0.0,2018-04-14,1,Tencent,0,0,0.0,0.0,14.0,14.0,0.0,0.0,0.0,0.0,,,,,,,
20,5ad21540ecfb9e2e3a68fe35,Android,,male,student,0,1.0,2018-04-14,1,Huawei,0,0,0.0,0.0,14.0,14.0,1.0,2.0,2.0,22.0,首页首页首页首页首页文章详情页首页首页文章详情页首页文章详情页首页文章详情页首页文章详情页首页首页文章详情页首页买手主页文章详情页买手主页首页文章详情页首页买手主页文章详情页买手主页首页发现买手首页文章详情页首页发现买手买手主页首页发现买手买手主页首页发现买手文章详情页首页发现买手买手主页文章详情页买手主页首页发现买手文章详情页首页发现买手买手主页文章详情页买手主页文章详情页买手主页文章详情页买手主页文章详情页买手主页首页发现买手发现买手首页买手主页首页发现买手发现买手文章详情页文章详情页文章详情页发现买手首页首页文章详情页首页文章详情页首页首页文章详情页首页,11.0,0.0,0.0,0.0,0.0,0.0
21,5ad21f8a22defc47ea7adda8,,,male,student,0,1.0,2018-04-14,1,Tencent,0,0,0.0,0.0,15.0,15.0,0.0,0.0,3.0,18.0,买手主页文章详情页买手主页文章详情页买手主页买手主页文章详情页买手主页文章详情页文章详情页文章详情页文章详情页文章详情页文章详情页文章详情页文章详情页文章详情页文章详情页文章详情页文章详情页文章详情页文章详情页文章详情页,0.0,0.0,0.0,0.0,0.0,0.0
22,5ad215402e6b536f0f79e6b4,Android,青岛,female,student,0,1.0,2018-04-14,1,Tencent,0,0,0.0,1.0,14.0,14.0,0.0,0.0,2.0,4.0,文章详情页文章详情页文章详情页文章详情页文章详情页文章详情页,0.0,0.0,0.0,0.0,0.0,0.0
23,5ad15cc5450fbc6efef951a8,Android,,female,student,0,0.0,2018-04-14,1,newyaoqinghaoyou,0,0,0.0,0.0,14.0,14.0,0.0,0.0,0.0,0.0,,,,,,,
24,5ad0eafe6b4d03488af40713,Android,郑州,female,worker,0,1.0,2018-04-14,1,Huawei,0,0,0.0,0.0,14.0,14.0,0.0,0.0,0.0,0.0,,,,,,,
25,5ad1e99858f66b2e34ccc208,,,female,worker,0,1.0,2018-04-14,1,wenzhangfenxiang,0,0,0.0,0.0,14.0,14.0,1.0,3.0,2.0,6.0,文章详情页文章详情页文章详情页文章详情页文章详情页文章详情页文章详情页文章详情页,0.0,0.0,0.0,0.0,0.0,0.0
26,5ad1e085d0d3372f53a03a85,,,unknown,student,0,1.0,2018-04-14,1,newyaoqinghaoyou,0,0,0.0,0.0,14.0,14.0,1.0,0.0,0.0,1.0,文章详情页,0.0,0.0,0.0,0.0,0.0,0.0
27,5ad1dca5b54aae483e8d276c,Android,,female,student,0,0.0,2018-04-14,1,Uc,0,0,0.0,0.0,14.0,14.0,0.0,2.0,0.0,1.0,文章详情页,0.0,0.0,0.0,0.0,0.0,0.0
28,5ad19d4decfb9e2e3a4ea8bb,Android,,female,student,0,1.0,2018-04-14,1,newyaoqinghaoyou,0,0,0.0,0.0,14.0,14.0,0.0,0.0,0.0,10.0,文章详情页文章详情页文章详情页文章详情页文章详情页文章详情页文章详情页文章详情页文章详情页文章详情页文章详情页文章详情页,0.0,0.0,0.0,0.0,0.0,0.0
