,userid,y
0,5ad86d64ea15f22e1d1d4341,1
1,5ad56ac359a21954816e6735,1
2,5ad60fb9afde0a35f0b98e92,0
3,5ad2e3dd2e6b536f0f96a22c,0
4,5ad0401df716a54769840aed,0
5,5ad6ec14d79ce5362bb1b830,0
6,5ad17caf2dbd85702acbe165,0
7,5ad02bfc2dbd85702a923d2c,0
8,5ad4059f1f0ca62f3bad8cff,0
9,5ad49008a16a54233ae5c87f,0
10,5ad6a90e71b96236083db16f,0
11,5ad6fb1430fd0234a1ac65af,1
12,5ad364542862a62f34ee4bbb,0
13,5ad1da50699cc62e464b0512,0
14,5ad034b8897de547637d6f5e,0
15,5ad7f309cf40ed5072bae8e9,1
16,5ad9c6fbc2639b2dd924bc70,1
17,5ad1556864fc0b484874c730,0
18,5ad69f265913f001e86fe6c1,1
19,5ad6b847c6a9050d81c1e208,1
20,5ad41ce40a6fa92f882cfd2f,0
21,5ad32e7e0a6fa92f88074f2a,0
22,5ad5cb9dd79ce5362b7add94,0
23,5ad35ca564fc0b4848d42331,0
24,5acfd5c05f3ad56a0648aa05,0
25,5ad5b0771eaa4c3572630203,1
26,5ad8633fd5b3a9561614237d,0
27,5ad8521bc2639b2dd9ded874,1
28,5ad23dd2d0d3372f53b43146,0
29,5ad7142a587765349cd920b0,0
30,5ad0b763c077bc70098a0a11,1
31,5ada0a0f9137a155ff659be0,0
32,5ad93dffdc59da2dcbc1090f,0
33,5ada0a14e9b0c055164bc407,1
34,5acf99d45f3ad56a06477cd8,0
35,5ad84a7cd5b3a956160e6e06,0
36,5ad01d482d0c2a2e3fc5733c,0
37,5ad2d460b31aaa70211d564b,1
38,5ad68aa671b962360835e623,0
39,5ad6a74d65962201ed376a91,1
40,5ad98f02b7252e2dee9aa319,0
41,5ad9ce2672ad682de7b49279,0
42,5ad3686af716a54769139f78,1
43,5ad1a9fd2862a62f349e76e7,0
44,5ad3f6ad450fbc6efe69e133,0
45,5ad0d201b31aaa7021d044da,0
46,5ad625dcd79ce5362b927e7e,0
47,5ad9fa63ed624f2d75b99e75,1
48,5ad6c763d4de660e8e336105,0
49,5ad1cee558f66b2e34c717e3,0
50,5ad9fd8feaff502dc316adbc,0
51,5ad5c91db05c0a0ee6e64b20,1
52,5ad9dc47f02a222eeb859271,0
53,5ada0e3319276a2cf4d20615,0
54,5ad2a294450fbc6efe2f60c8,0
55,5acfff0bb96dcb3959f1ed2e,0
56,5ad80da8e411527ccf3656e4,0
57,5ad6f31eb05c0a0ee61ea60f,0
58,5ad5bd2a877bb10eb10d86fd,1
59,5ad86a9072ad682de7719fea,1
60,5ad5ab793367f56ba699e408,0
61,5ad55d9c3f91eb2236a67f57,0
62,5ad4a24b684654222682da95,0
63,5ad1f0a364fc0b484895cb8f,0
64,5ad181062862a62f3495b19a,0
65,5ad4836b0ab72e2001e4e02f,0
66,5ad70e5d5913f001e88c1ead,0
67,5ad6deabf885c136003d822a,0
68,5ad8a8e4b7252e2dee755af4,1
69,5ad2daa4bf06f46f09e6d020,0
70,5ad2ce9decfb9e2e3a80192a,0
71,5ad83bf77c944b7bc0493a68,1
72,5ad6823ad79ce5362b96d213,1
73,5ad9eef1c3e6312f167d589a,0
74,5ad9dbaf45157c2f3048624f,1
75,5ad4aee0691897232fe7a9a3,0
76,5ad2eed8ecfb9e2e3a87238f,0
77,5ad8a172d5b3a956162206bb,0
78,5ad5c59f9f89e503263c140e,0
79,5ad476ece1fe5e1a4c6692be,1
80,5ad1f815ecfb9e2e3a61dba6,1
81,5ad8b3bfed624f2d757d2817,1
82,5ad36e3f897de5476311064a,0
83,5ad9ddb78035845523f2fb0c,0
84,5ad250bbc077bc7009cf0abe,0
85,5ad97907ed624f2d759a30ca,1
86,5ad7165dafde0a35f0e97b84,1
87,5ad691f3afde0a35f0c72a26,0
88,5ad57478d5363a3dcedffb67,1
89,5ad96620c3e6312f165d3cfd,0
90,5ad85558c3e6312f162e9839,1
91,5ad1d9396b4d03488a17d74e,0
92,5ad6210633694634ad1969c6,1
93,5ad0eb395fabdf47f02c4fe4,0
94,5ad6e19471b96236084cfb68,0
95,5ad70174e7772c02c27dc08f,0
96,5ad07d3e1f0ca62f3b19095b,1
97,5ad3886822defc47eab85b59,0
98,5ad0447664fc0b48484928e1,0
99,5ad552854961eb2230957128,0
