,userid,payorder,general_isgroup,paid,state,买手入驻申请,入驻,分享有奖,拼团详情,火球买手
0,5acfe5f96077d1151e95aa94,0,,,,,,,,
1,5ad078d1d0d3372f5362d61a,0,,,,,,,,
2,5ad078130a6fa92f889118f9,0,,,,,,,,
3,5ad0c9f4ecfb9e2e3a31e1e0,0,,,,,,,,
4,5acff7675f3ad56a064ca08b,0,,,,,,,,
5,5ad060031f0ca62f3b129b85,0,,,,,,,,
6,5acf8f6e0d39e8150ca6046a,0,,,,,,,,
7,5ad09ace699cc62e46171d1f,0,,,,,,,,
8,5ad02b6ff4edea6f044a0463,0,,,,,,,,
9,5a9b6f1ff14b2c762f76fa0f,0,,,,,,,,
10,5ad03c96699cc62e4602c53e,0,,,,,,,,
11,5ad006d17b9a58385d13680b,1,,,,,,,,
12,5a98f6ed700df140f3445db6,0,,,,,,,,
13,5ad032195fabdf47f003572c,0,,,,,,,,
14,5ad092cf699cc62e4615553b,0,,,,,,,,
15,5ad084e8450fbc6efedaad75,1,,,,,,,,
16,599a979608d68c2963ba7adc,0,,,,,,,,
17,5acf7b867b9a58385d0615b2,1,,,,,,,,
18,5ad05062bf06f46f0979a88c,0,,,,,,,,
19,5ad048ee1f0ca62f3b0dbe3a,1,,,,0.0,0.0,1.0,0.0,0.0
20,5ad0cdf15fabdf47f0278d42,0,,,,,,,,
21,5ad033f1f4edea6f044c09f2,0,,,,,,,,
22,5ad08c0122defc47ea323302,0,,,,,,,,
23,5ad00e133ed3c316475da49e,0,,,,,,,,
24,5ad04ad0b54aae483e469dbf,0,,,,,,,,
25,5ad05d9122defc47ea28260a,0,,,,,,,,
26,5ad034670a6fa92f88823e5e,0,,,,,,,,
27,5ad01c962862a62f3457da4f,0,,,,0.0,0.0,3.0,0.0,0.0
28,5ad06d48b403447057206a12,0,,,,,,,,
29,5acfec5aac545f6b3856beee,0,,,,,,,,
30,5ad05b531f0ca62f3b119177,0,,,,,,,,
31,5ad016ac1f0ca62f3b023002,0,,,,,,,,
32,5ad01ee81f0ca62f3b041e0f,0,,,,,,,,
33,5ad019dcd0d3372f534dd0e2,0,,,,,,,,
34,5ad0471b2dbd85702a988b7d,0,,,,,,,,
35,5ad0a8f05fabdf47f01db8e0,1,,,,,,,,
36,5ad05f11b54aae483e4ad3f0,0,,,,,,,,
37,5ad0432522defc47ea22b408,0,,,,,,,,
38,5a439636f9b35c403a1d371c,0,,,,,,,,
39,5ad0994058f66b2e34943516,0,,,,,,,,
40,5ad045d4b403447057181e65,0,,,,,,,,
41,5ad07055bf06f46f09805b97,0,,,,,,,,
42,5acf87106077d1151e913e41,0,,,,,,,,
43,5ad0ba55b54aae483e5f2c79,0,,,,,,,,
44,5ad0bacdf4edea6f046a53a2,0,,,,,,,,
45,5ad03a9258f66b2e347ff8b7,0,,,,,,,,
46,5ad06c25c077bc70097975fb,0,,,,,,,,
47,5ad0b7dbc077bc70098a2f1b,0,,,,,,,,
48,5ad076d5f716a547698fbedb,0,,,,,,,,
49,5ad0bedb450fbc6efee7a574,0,,,,0.0,0.0,2.0,0.0,0.0
50,5ad01225331a0b15f4856adf,0,,,,,,,,
